NAME,STATE,COUNTY,CITY,MAX_VOLT,MIN_VOLT,LINES,LATITUDE,LONGITUDE,LON,LAT
TAP156143,AL,LAUDERDALE,FLORENCE,161,161,3,34.811347,-87.645918,-87.64591800000001,34.811347
UNKNOWN156458,KS,ALLEN,IOLA,-999999,-999999,0,37.92605735,-95.3987021,-95.3987021,37.92605735
TAP156144,AL,LAUDERDALE,FLORENCE,161,161,3,34.812458,-87.646623,-87.646623,34.812458
UNKNOWN156459,KS,MCPHERSON,MCPHERSON,-999999,-999999,0,38.3795099,-97.68499812,-97.68499812,38.379509899999995
TAP156145,AL,LAUDERDALE,FLORENCE,161,161,3,34.79985922,-87.65835809,-87.65835809,34.799859219999995
UNKNOWN156460,KS,GEARY,JUNCTION CITY,115,115,1,39.0293138,-96.82317278,-96.82317278,39.02931379999999
TAP156146,AL,LAUDERDALE,FLORENCE,161,161,3,34.799899,-87.665757,-87.665757,34.799898999999996
UNKNOWN156461,KS,GEARY,JUNCTION CITY,115,115,3,39.00853738,-96.86123699,-96.86123699,39.00853737999999
TAP156147,AL,LAUDERDALE,FLORENCE,161,161,3,34.795362,-87.691437,-87.691437,34.795362
TAP156148,AL,LAUDERDALE,FLORENCE,161,161,3,34.819957,-87.688826,-87.688826,34.819956999999995
UNKNOWN156462,AL,LAUDERDALE,FLORENCE,161,-999999,2,34.86690321,-87.6558837,-87.6558837,34.86690321
TAP156149,AL,LAUDERDALE,FLORENCE,161,161,3,34.819924,-87.681131,-87.68113099999998,34.81992399999999
UNKNOWN156463,AL,LAUDERDALE,FLORENCE,161,-999999,2,34.85723346,-87.67441135,-87.67441135,34.85723346
TAP156150,AL,LAUDERDALE,FLORENCE,161,161,4,34.819214,-87.680901,-87.680901,34.819214
UNKNOWN156464,AL,LAUDERDALE,ROGERSVILLE,-999999,-999999,0,34.81165025,-87.29940118,-87.29940118000002,34.81165025
TAP156151,AL,LAUDERDALE,FLORENCE,161,161,3,34.829429,-87.670166,-87.67016599999998,34.829429
TAP156152,AL,LAUDERDALE,FLORENCE,161,161,3,34.829532,-87.67482,-87.67482,34.82953199999999
TAP156153,AL,LAUDERDALE,FLORENCE,161,161,3,34.829409,-87.667468,-87.667468,34.82940899999999
TAP156154,AL,LAUDERDALE,FLORENCE,-999999,-999999,3,34.864971,-87.691505,-87.691505,34.864971
TAP156155,AL,LAUDERDALE,FLORENCE,-999999,-999999,3,34.865002,-87.673965,-87.673965,34.865002
UNKNOWN156469,MI,CALHOUN,BATTLE CREEK,-999999,-999999,0,42.29087324,-85.09804249,-85.09804249,42.29087324
TAP156156,AL,LAUDERDALE,ROGERSVILLE,-999999,-999999,3,34.863816,-87.3905,-87.3905,34.86381599999999
UNKNOWN156470,MI,CALHOUN,BATTLE CREEK,-999999,-999999,0,42.29032263,-85.09777592,-85.09777592,42.29032263
TAP156157,AL,LAUDERDALE,ROGERSVILLE,-999999,-999999,3,34.849321,-87.39117,-87.39117000000002,34.849320999999996
UNKNOWN156471,MI,MISSAUKEE,LAKE CITY,69,69,2,44.25958828,-85.30018105,-85.30018104999999,44.25958828
TAP156158,AL,LAUDERDALE,FLORENCE,-999999,-999999,3,34.873185,-87.673757,-87.67375700000001,34.873184999999985
UNKNOWN156472,MI,MONTCALM,RICHLAND TWP,-999999,-999999,2,43.40041859,-84.91240241,-84.91240240999998,43.40041859
TAP156159,AL,LAUDERDALE,FLORENCE,-999999,-999999,3,34.872962,-87.660694,-87.660694,34.872961999999994
UNKNOWN156473,MI,ISABELLA,MOUNT PLEASANT,-999999,-999999,0,43.59048811,-84.92710083,-84.92710083,43.59048811
TAP156160,AL,LAUDERDALE,FLORENCE,161,161,3,34.843394,-87.646745,-87.646745,34.843394
UNKNOWN156474,MI,KENT,VERGENNES TWP,-999999,-999999,0,42.94549128,-85.41028876,-85.41028876,42.94549128
UNKNOWN156475,MI,IONIA,SARANAC,-999999,-999999,0,42.95814003,-85.23622427,-85.23622427,42.958140029999996
UNKNOWN156476,MI,IONIA,LAKE ODESSA,-999999,-999999,0,42.78701199,-85.14084889,-85.14084889,42.78701199
